,0
0,-0.5015919
1,-0.50074816
2,-0.4999034
3,-0.49905756
4,-0.4982107
5,-0.49736288
6,-0.49651402
7,-0.4956641
8,-0.49481314
9,-0.4939612
10,-0.49310827
11,-0.49225432
12,-0.49139932
13,-0.49054325
14,-0.48968625
15,-0.48882818
16,-0.4879691
17,-0.487109
18,-0.48624793
19,-0.4853858
20,-0.48452267
21,-0.48365852
22,-0.48279333
23,-0.48192713
24,-0.48105997
25,-0.48019174
26,-0.4793225
27,-0.4784522
28,-0.47758093
29,-0.47670862
30,-0.4758354
31,-0.47496107
32,-0.47408575
33,-0.4732094
34,-0.472332
35,-0.47145367
36,-0.4705743
37,-0.4696939
38,-0.46881244
39,-0.46793008
40,-0.46704662
41,-0.4661622
42,-0.4652767
43,-0.46439025
44,-0.46350276
45,-0.46261427
46,-0.4617248
47,-0.46083423
48,-0.45994276
49,-0.45905024
50,-0.4581567
51,-0.45726216
52,-0.4563666
53,-0.45547006
54,-0.45457253
55,-0.45367393
56,-0.45277435
57,-0.4518738
58,-0.45097226
59,-0.4500697
60,-0.44916606
61,-0.44826147
62,-0.44735587
63,-0.4464493
64,-0.44554165
65,-0.44463313
66,-0.4437236
67,-0.442813
68,-0.4419014
69,-0.44098878
70,-0.44007522
71,-0.43916062
72,-0.43824506
73,-0.4373285
74,-0.43641087
75,-0.43549237
76,-0.43457282
77,-0.4336523
78,-0.43273073
79,-0.43180823
80,-0.4308847
81,-0.42996022
82,-0.42903468
83,-0.42810827
84,-0.42718077
85,-0.4262523
86,-0.42532286
87,-0.42439243
88,-0.423461
89,-0.42252865
90,-0.4215952
91,-0.4206608
92,-0.41972554
93,-0.4187892
94,-0.41785187
95,-0.41691357
96,-0.41597435
97,-0.41503406
98,-0.4140928
99,-0.41315067
100,-0.41220742
101,-0.41126332
102,-0.41031823
103,-0.40937215
104,-0.4084251
105,-0.40747702
106,-0.4065281
107,-0.4055781
108,-0.40462708
109,-0.40367526
110,-0.4027224
111,-0.40176857
112,-0.40081376
113,-0.39985803
114,-0.39890128
115,-0.3979436
116,-0.39698496
117,-0.3960253
118,-0.3950648
119,-0.39410326
120,-0.3931408
121,-0.39217743
122,-0.39121303
123,-0.39024767
124,-0.38928142
125,-0.38831416
126,-0.387346
127,-0.38637683
128,-0.38540682
129,-0.38443577
130,-0.38346383
131,-0.3824909
132,-0.38151705
133,-0.38054225
134,-0.37956655
135,-0.37858993
136,-0.3776123
137,-0.37663376
138,-0.37565428
139,-0.3746739
140,-0.37369257
141,-0.37271026
142,-0.3717271
143,-0.37074298
144,-0.3697579
145,-0.3687719
146,-0.36778498
147,-0.3667972
148,-0.36580846
149,-0.3648188
150,-0.3638282
151,-0.36283666
152,-0.36184424
153,-0.36085093
154,-0.35985667
155,-0.3588615
156,-0.35786545
157,-0.35686842
158,-0.35587054
159,-0.35487175
160,-0.35387206
161,-0.35287145
162,-0.35186994
163,-0.35086757
164,-0.34986424
